State,REI ID,REI,2013 DALYs,2013 Rank,2014 DALYs,2014 Rank,2013-2014 YoY %,2015 DALYs,2015 Rank,2014-2015 YoY %,2016 DALYs,2016 Rank,2015-2016 YoY %,2017 DALYs,2017 Rank,2016-2017 YoY %,2018 DALYs,2018 Rank,2017-2018 YoY %,2019 DALYs,2019 Rank,2018-2019 YoY %,2020 DALYs,2020 Rank,2019-2020 YoY %,2021 DALYs,2021 Rank,2020-2021 YoY %,2022 DALYs,2022 Rank,2021-2022 YoY %,2023 DALYs,2023 Rank,2022-2023 YoY %
Goa,125,Low physical activity,361.39,26,364.95,26,+0.98%,367.88,26,+0.80%,373.82,26,+1.61%,373.54,26,-0.07%,371.58,26,-0.52%,356.78,26,-3.98%,356.20,26,-0.16%,434.87,26,+22.09%,395.39,26,-9.08%,404.62,26,+2.34%
Nagaland,125,Low physical activity,164.61,27,164.69,27,+0.05%,165.17,27,+0.29%,172.82,28,+4.63%,175.88,28,+1.77%,178.34,28,+1.40%,173.19,28,-2.89%,172.05,28,-0.66%,247.64,28,+43.93%,193.87,28,-21.71%,201.21,28,+3.78%
Meghalaya,125,Low physical activity,164.00,28,161.68,28,-1.41%,161.64,28,-0.03%,180.96,27,+11.95%,192.99,27,+6.65%,203.31,27,+5.35%,203.66,27,+0.17%,207.17,27,+1.72%,315.44,27,+52.26%,244.27,27,-22.56%,251.53,27,+2.97%
Arunachal Pradesh,125,Low physical activity,72.20,29,73.06,29,+1.20%,74.64,29,+2.16%,79.77,29,+6.87%,82.74,29,+3.73%,84.18,29,+1.74%,83.74,29,-0.52%,85.11,29,+1.63%,105.00,29,+23.37%,100.74,29,-4.06%,104.83,29,+4.06%
Sikkim,125,Low physical activity,56.77,30,57.82,30,+1.87%,57.61,31,-0.38%,59.80,31,+3.81%,58.92,31,-1.47%,56.99,31,-3.28%,53.40,31,-6.30%,52.31,31,-2.05%,65.75,31,+25.69%,65.71,31,-0.06%,67.83,31,+3.22%
Mizoram,125,Low physical activity,53.42,31,55.10,31,+3.15%,58.55,30,+6.26%,67.66,30,+15.56%,70.73,30,+4.53%,72.92,30,+3.11%,72.42,30,-0.69%,76.97,30,+6.28%,101.54,30,+31.92%,87.28,30,-14.04%,88.60,30,+1.51%
Uttar Pradesh,332,Chewing tobacco,170.93K,1,190.59K,1,+11.50%,206.92K,1,+8.57%,234.30K,1,+13.23%,243.84K,1,+4.07%,246.60K,1,+1.13%,238.68K,1,-3.21%,227.93K,1,-4.50%,258.94K,1,+13.60%,252.46K,1,-2.50%,254.12K,1,+0.65%
West Bengal,332,Chewing tobacco,155.82K,2,154.17K,2,-1.06%,149.45K,2,-3.06%,151.72K,2,+1.52%,151.37K,2,-0.23%,148.06K,3,-2.18%,142.19K,2,-3.97%,147.42K,2,+3.68%,175.96K,2,+19.36%,144.49K,2,-17.88%,147.95K,2,+2.40%
Maharashtra,332,Chewing tobacco,128.20K,3,135.28K,3,+5.52%,138.61K,3,+2.46%,141.25K,3,+1.90%,147.48K,3,+4.41%,173.38K,2,+17.57%,138.57K,3,-20.08%,122.59K,3,-11.53%,149.42K,3,+21.88%,131.84K,3,-11.76%,134.83K,3,+2.27%
Odisha,332,Chewing tobacco,97.96K,4,95.67K,4,-2.34%,96.20K,4,+0.55%,105.65K,4,+9.83%,111.77K,4,+5.79%,112.62K,4,+0.76%,110.75K,4,-1.65%,108.56K,4,-1.98%,120.66K,4,+11.14%,115.49K,4,-4.29%,115.92K,4,+0.37%
Bihar,332,Chewing tobacco,67.77K,5,65.75K,5,-2.99%,64.66K,5,-1.66%,69.47K,5,+7.44%,70.61K,6,+1.64%,70.25K,6,-0.51%,67.92K,6,-3.31%,64.67K,6,-4.79%,76.93K,6,+18.97%,65.58K,6,-14.75%,67.48K,6,+2.90%
Madhya Pradesh,332,Chewing tobacco,60.50K,6,59.82K,6,-1.12%,59.22K,7,-1.01%,60.90K,8,+2.84%,60.96K,8,+0.10%,59.57K,8,-2.27%,57.61K,8,-3.30%,57.15K,9,-0.79%,69.14K,8,+20.97%,56.42K,8,-18.40%,57.50K,8,+1.92%
Assam,332,Chewing tobacco,57.85K,7,59.81K,7,+3.39%,63.01K,6,+5.35%,68.54K,6,+8.78%,71.42K,5,+4.20%,72.11K,5,+0.97%,70.43K,5,-2.34%,67.79K,5,-3.75%,76.86K,7,+13.39%,74.60K,5,-2.94%,75.69K,5,+1.45%
Chhattisgarh,332,Chewing tobacco,57.24K,8,56.75K,9,-0.85%,57.32K,9,+1.02%,61.84K,7,+7.88%,64.67K,7,+4.57%,64.09K,7,-0.89%,62.74K,7,-2.11%,60.82K,7,-3.05%,77.07K,5,+26.72%,62.30K,7,-19.17%,61.68K,7,-1.00%
Karnataka,332,Chewing tobacco,56.87K,9,57.72K,8,+1.48%,58.84K,8,+1.95%,60.43K,9,+2.71%,60.65K,9,+0.36%,58.64K,9,-3.32%,55.22K,9,-5.83%,57.41K,8,+3.97%,68.82K,9,+19.86%,53.61K,10,-22.10%,53.95K,10,+0.64%
Tamil Nadu,332,Chewing tobacco,39.18K,10,42.06K,10,+7.34%,43.92K,10,+4.44%,46.93K,10,+6.85%,48.63K,11,+3.61%,48.04K,11,-1.21%,45.17K,11,-5.98%,46.06K,11,+1.98%,51.59K,11,+12.00%,44.03K,11,-14.65%,45.80K,11,+4.02%
Jharkhand,332,Chewing tobacco,36.14K,11,38.33K,11,+6.05%,39.16K,11,+2.17%,46.57K,11,+18.94%,50.47K,10,+8.37%,52.64K,10,+4.30%,52.68K,10,+0.08%,51.18K,10,-2.84%,62.10K,10,+21.34%,54.86K,9,-11.66%,55.05K,9,+0.33%
Telangana,332,Chewing tobacco,25.50K,12,25.11K,13,-1.52%,25.14K,13,+0.12%,26.31K,13,+4.65%,27.19K,13,+3.36%,26.97K,13,-0.84%,25.89K,13,-3.97%,25.19K,13,-2.73%,27.36K,13,+8.61%,25.29K,13,-7.54%,24.84K,13,-1.79%
Gujarat,332,Chewing tobacco,23.88K,13,25.65K,12,+7.43%,27.60K,12,+7.59%,29.77K,12,+7.86%,31.88K,12,+7.08%,32.63K,12,+2.36%,33.02K,12,+1.18%,35.34K,12,+7.04%,51.37K,12,+45.36%,34.72K,12,-32.42%,34.57K,12,-0.42%
Andhra Pradesh,332,Chewing tobacco,18.36K,14,18.48K,14,+0.65%,19.00K,14,+2.78%,20.06K,14,+5.62%,20.86K,14,+3.95%,20.78K,14,-0.38%,20.40K,14,-1.81%,20.37K,14,-0.17%,22.32K,14,+9.61%,20.25K,14,-9.27%,20.24K,14,-0.09%
Kerala,332,Chewing tobacco,13.70K,15,14.03K,16,+2.36%,14.87K,15,+5.98%,16.45K,15,+10.65%,18.13K,15,+10.22%,18.39K,15,+1.41%,17.70K,15,-3.75%,16.03K,15,-9.44%,17.79K,15,+10.99%,18.98K,15,+6.71%,18.99K,15,+0.01%
Rajasthan,332,Chewing tobacco,13.64K,16,14.09K,15,+3.34%,14.70K,16,+4.33%,15.67K,16,+6.56%,16.27K,16,+3.84%,16.12K,16,-0.93%,15.54K,16,-3.57%,15.09K,16,-2.91%,16.77K,16,+11.14%,15.97K,16,-4.81%,16.06K,16,+0.58%
Tripura,332,Chewing tobacco,8.70K,17,7.22K,17,-17.10%,7.55K,17,+4.64%,9.17K,17,+21.49%,9.56K,17,+4.21%,9.11K,17,-4.70%,8.93K,17,-1.97%,8.86K,17,-0.76%,9.68K,17,+9.27%,9.53K,17,-1.55%,9.75K,17,+2.29%
Uttarakhand,332,Chewing tobacco,4.86K,18,4.92K,18,+1.37%,5.08K,18,+3.28%,5.39K,18,+6.12%,5.41K,19,+0.30%,5.16K,19,-4.58%,4.68K,20,-9.36%,4.55K,21,-2.78%,5.04K,21,+10.66%,4.61K,21,-8.38%,4.60K,21,-0.22%
Punjab,332,Chewing tobacco,4.26K,19,4.09K,20,-3.86%,4.23K,20,+3.38%,4.65K,20,+9.98%,4.91K,20,+5.56%,4.93K,20,+0.30%,4.82K,19,-2.06%,4.97K,19,+3.06%,5.52K,20,+11.07%,4.91K,20,-11.02%,4.84K,20,-1.47%
Haryana,332,Chewing tobacco,3.91K,20,4.25K,19,+8.62%,4.63K,19,+8.95%,5.27K,19,+13.77%,5.64K,18,+7.08%,5.84K,18,+3.61%,5.69K,18,-2.65%,5.81K,18,+2.07%,6.89K,18,+18.65%,5.65K,18,-18.02%,5.60K,18,-0.75%
Manipur,332,Chewing tobacco,3.90K,21,4.04K,21,+3.44%,4.21K,21,+4.27%,4.52K,21,+7.44%,4.68K,21,+3.53%,4.74K,21,+1.27%,4.63K,21,-2.31%,4.56K,20,-1.60%,6.53K,19,+43.22%,5.05K,19,-22.63%,5.19K,19,+2.76%
Delhi,332,Chewing tobacco,2.37K,22,2.20K,22,-6.94%,2.07K,22,-5.80%,1.99K,22,-3.91%,1.88K,22,-5.60%,1.76K,23,-6.47%,1.62K,23,-7.82%,2.01K,22,+23.92%,2.32K,22,+15.18%,1.63K,23,-29.45%,1.67K,23,+1.94%
Jammu & Kashmir and Ladakh,332,Chewing tobacco,1.72K,23,1.68K,23,-2.47%,1.70K,23,+0.99%,1.78K,23,+4.75%,1.85K,23,+4.32%,1.85K,22,-0.39%,1.77K,22,-4.17%,1.66K,23,-6.16%,1.83K,25,+10.23%,1.82K,22,-0.69%,1.84K,22,+1.04%
Nagaland,332,Chewing tobacco,1.50K,24,1.48K,24,-1.35%,1.48K,24,-0.06%,1.52K,24,+2.82%,1.54K,24,+1.58%,1.53K,24,-1.02%,1.46K,24,-4.65%,1.43K,24,-1.63%,2.09K,24,+45.63%,1.51K,25,-27.45%,1.54K,25,+1.46%
Meghalaya,332,Chewing tobacco,1.30K,25,1.25K,25,-3.72%,1.22K,25,-2.07%,1.32K,25,+8.03%,1.40K,25,+5.62%,1.43K,25,+2.61%,1.42K,25,-1.24%,1.41K,25,-0.20%,2.10K,23,+48.82%,1.54K,24,-26.76%,1.57K,24,+1.80%
Arunachal Pradesh,332,Chewing tobacco,824.29,26,824.64,26,+0.04%,843.87,26,+2.33%,896.00,26,+6.18%,919.65,26,+2.64%,910.81,26,-0.96%,882.63,26,-3.09%,876.28,27,-0.72%,1.06K,27,+20.52%,973.97,26,-7.77%,998.38,26,+2.51%
Other Union Territories,332,Chewing tobacco,744.97,27,769.53,27,+3.30%,792.30,27,+2.96%,828.87,27,+4.62%,849.39,27,+2.48%,853.02,27,+0.43%,839.10,27,-1.63%,908.29,26,+8.25%,1.14K,26,+25.09%,909.31,27,-19.97%,921.46,27,+1.34%
Himachal Pradesh,332,Chewing tobacco,652.35,28,594.77,28,-8.83%,574.60,28,-3.39%,590.96,28,+2.85%,622.69,28,+5.37%,637.70,28,+2.41%,631.43,28,-0.98%,610.34,28,-3.34%,719.18,28,+17.83%,726.63,28,+1.04%,742.48,28,+2.18%
Goa,332,Chewing tobacco,283.29,29,288.34,29,+1.78%,291.82,29,+1.21%,287.08,30,-1.63%,279.09,30,-2.78%,270.47,30,-3.09%,256.07,30,-5.32%,254.32,30,-0.68%,310.04,30,+21.91%,256.56,30,-17.25%,254.19,30,-0.92%
Mizoram,332,Chewing tobacco,275.22,30,264.36,30,-3.95%,274.03,30,+3.65%,317.47,29,+15.86%,337.35,29,+6.26%,339.83,29,+0.74%,331.56,29,-2.43%,341.75,29,+3.07%,453.30,29,+32.64%,378.55,29,-16.49%,374.10,29,-1.18%
Sikkim,332,Chewing tobacco,246.58,31,237.69,31,-3.61%,227.56,31,-4.26%,226.82,31,-0.32%,220.31,31,-2.87%,204.91,31,-6.99%,184.58,31,-9.92%,174.50,31,-5.46%,206.89,31,+18.56%,203.46,31,-1.66%,205.13,31,+0.82%
Uttar Pradesh,341,Kidney dysfunction,662.79K,1,704.22K,1,+6.25%,714.97K,1,+1.53%,774.51K,1,+8.33%,750.64K,1,-3.08%,737.40K,1,-1.76%,680.14K,1,-7.76%,623.75K,1,-8.29%,717.90K,1,+15.09%,727.18K,1,+1.29%,707.81K,1,-2.66%
Tamil Nadu,341,Kidney dysfunction,514.10K,2,523.44K,2,+1.82%,513.59K,2,-1.88%,519.57K,2,+1.16%,503.71K,2,-3.05%,471.07K,4,-6.48%,420.92K,4,-10.65%,417.26K,3,-0.87%,465.25K,3,+11.50%,384.52K,4,-17.35%,378.91K,4,-1.46%
Maharashtra,341,Kidney dysfunction,499.76K,3,509.40K,3,+1.93%,501.89K,3,-1.47%,491.88K,3,-1.99%,481.76K,4,-2.06%,541.79K,2,+12.46%,424.27K,3,-21.69%,365.93K,5,-13.75%,447.81K,6,+22.38%,403.06K,3,-9.99%,397.28K,3,-1.43%
West Bengal,341,Kidney dysfunction,454.17K,4,470.46K,4,+3.59%,465.21K,4,-1.12%,484.82K,4,+4.22%,482.29K,3,-0.52%,478.30K,3,-0.83%,458.30K,2,-4.18%,472.83K,2,+3.17%,586.48K,2,+24.04%,482.88K,2,-17.66%,489.18K,2,+1.30%
Karnataka,341,Kidney dysfunction,334.01K,5,349.66K,5,+4.69%,363.45K,5,+3.94%,382.19K,5,+5.16%,384.39K,5,+0.58%,373.87K,5,-2.74%,354.60K,5,-5.15%,371.64K,4,+4.81%,458.81K,5,+23.46%,364.08K,5,-20.65%,350.94K,5,-3.61%
Andhra Pradesh,341,Kidney dysfunction,318.16K,6,326.29K,6,+2.55%,332.42K,6,+1.88%,347.86K,6,+4.64%,351.41K,7,+1.02%,338.90K,7,-3.56%,318.19K,7,-6.11%,319.14K,7,+0.30%,372.24K,8,+16.64%,327.72K,7,-11.96%,312.69K,8,-4.59%
Telangana,341,Kidney dysfunction,309.97K,7,318.60K,7,+2.78%,324.14K,7,+1.74%,345.62K,7,+6.63%,356.87K,6,+3.25%,358.75K,6,+0.53%,349.47K,6,-2.58%,341.18K,6,-2.37%,394.04K,7,+15.49%,356.92K,6,-9.42%,334.49K,6,-6.28%
Bihar,341,Kidney dysfunction,285.99K,8,294.16K,8,+2.86%,293.02K,9,-0.39%,318.76K,8,+8.79%,315.30K,8,-1.09%,321.80K,8,+2.06%,311.54K,8,-3.19%,291.28K,9,-6.50%,357.05K,10,+22.58%,320.76K,8,-10.16%,322.33K,7,+0.49%
Gujarat,341,Kidney dysfunction,278.62K,9,287.68K,9,+3.25%,294.14K,8,+2.25%,307.78K,9,+4.64%,313.23K,9,+1.77%,308.52K,9,-1.50%,302.08K,9,-2.09%,316.38K,8,+4.73%,463.63K,4,+46.54%,309.10K,9,-33.33%,297.63K,9,-3.71%
Madhya Pradesh,341,Kidney dysfunction,269.83K,10,275.74K,10,+2.19%,280.03K,10,+1.56%,296.85K,10,+6.00%,295.97K,10,-0.29%,293.10K,10,-0.97%,285.67K,10,-2.53%,282.25K,10,-1.20%,362.57K,9,+28.46%,292.67K,10,-19.28%,288.42K,10,-1.45%
Punjab,341,Kidney dysfunction,195.19K,11,201.28K,11,+3.12%,207.96K,11,+3.32%,229.84K,11,+10.52%,237.83K,11,+3.48%,241.57K,11,+1.57%,233.35K,11,-3.40%,238.16K,11,+2.06%,276.41K,11,+16.06%,246.26K,11,-10.91%,234.34K,11,-4.84%
Rajasthan,341,Kidney dysfunction,178.64K,12,192.69K,12,+7.87%,204.88K,12,+6.33%,222.35K,12,+8.53%,227.08K,12,+2.12%,226.07K,12,-0.44%,217.30K,12,-3.88%,207.10K,12,-4.69%,240.80K,12,+16.27%,230.91K,12,-4.11%,221.79K,12,-3.95%
Kerala,341,Kidney dysfunction,173.18K,13,170.34K,13,-1.64%,171.23K,13,+0.52%,179.50K,13,+4.83%,184.06K,13,+2.54%,176.99K,14,-3.84%,162.84K,15,-7.99%,143.11K,15,-12.12%,158.56K,16,+10.80%,164.23K,15,+3.57%,159.36K,15,-2.96%
Odisha,341,Kidney dysfunction,142.29K,14,141.66K,15,-0.44%,144.15K,15,+1.75%,160.53K,15,+11.36%,169.31K,15,+5.47%,171.63K,15,+1.37%,169.09K,14,-1.48%,165.97K,14,-1.84%,190.80K,14,+14.96%,181.26K,14,-5.00%,175.83K,13,-3.00%
Chhattisgarh,341,Kidney dysfunction,140.05K,15,145.49K,14,+3.88%,152.13K,14,+4.56%,168.64K,14,+10.85%,175.99K,14,+4.36%,178.27K,13,+1.29%,176.59K,13,-0.95%,172.27K,13,-2.44%,229.56K,13,+33.25%,184.53K,13,-19.61%,175.67K,14,-4.80%
Haryana,341,Kidney dysfunction,132.00K,16,137.10K,16,+3.86%,138.10K,16,+0.73%,148.18K,16,+7.30%,146.46K,16,-1.16%,146.67K,16,+0.15%,135.42K,16,-7.67%,134.49K,16,-0.69%,162.80K,15,+21.05%,131.37K,17,-19.31%,128.33K,17,-2.31%
Assam,341,Kidney dysfunction,109.85K,17,112.24K,17,+2.18%,116.11K,17,+3.45%,124.12K,17,+6.90%,128.95K,17,+3.89%,131.30K,17,+1.82%,128.51K,17,-2.12%,124.47K,17,-3.15%,144.75K,17,+16.30%,139.20K,16,-3.84%,137.71K,16,-1.07%
Jharkhand,341,Kidney dysfunction,93.63K,18,94.53K,18,+0.96%,93.77K,18,-0.81%,105.80K,18,+12.83%,107.59K,18,+1.70%,108.10K,18,+0.47%,104.00K,18,-3.80%,97.66K,18,-6.09%,117.23K,18,+20.04%,107.83K,18,-8.02%,104.05K,18,-3.51%
Uttarakhand,341,Kidney dysfunction,74.84K,19,78.70K,19,+5.16%,81.64K,19,+3.74%,87.31K,19,+6.94%,87.00K,19,-0.35%,84.84K,19,-2.48%,76.56K,19,-9.77%,73.42K,19,-4.09%,84.39K,19,+14.93%,78.83K,19,-6.58%,74.50K,19,-5.49%
Delhi,341,Kidney dysfunction,60.09K,20,60.77K,20,+1.12%,59.24K,20,-2.51%,59.68K,20,+0.75%,54.38K,20,-8.88%,51.72K,20,-4.89%,45.59K,21,-11.86%,55.00K,20,+20.64%,67.70K,20,+23.09%,47.07K,21,-30.48%,47.23K,21,+0.35%
Jammu & Kashmir and Ladakh,341,Kidney dysfunction,38.62K,21,40.42K,21,+4.65%,42.92K,21,+6.19%,46.98K,21,+9.45%,48.15K,21,+2.50%,48.77K,21,+1.28%,46.87K,20,-3.89%,44.17K,21,-5.77%,51.31K,21,+16.17%,50.12K,20,-2.33%,48.03K,20,-4.17%
Himachal Pradesh,341,Kidney dysfunction,23.48K,22,21.85K,22,-6.92%,21.13K,22,-3.29%,21.76K,22,+2.95%,22.65K,22,+4.11%,23.46K,22,+3.59%,23.21K,22,-1.09%,22.53K,22,-2.91%,27.88K,22,+23.75%,27.81K,22,-0.26%,26.74K,22,-3.86%
Tripura,341,Kidney dysfunction,15.83K,23,13.69K,24,-13.51%,14.66K,24,+7.08%,18.13K,23,+23.68%,18.91K,23,+4.28%,18.32K,23,-3.12%,17.94K,23,-2.05%,17.90K,23,-0.24%,20.20K,24,+12.85%,19.89K,23,-1.54%,19.77K,23,-0.62%
Other Union Territories,341,Kidney dysfunction,13.54K,24,14.30K,23,+5.57%,14.90K,23,+4.21%,16.03K,24,+7.57%,16.46K,24,+2.73%,16.59K,24,+0.78%,16.23K,24,-2.19%,17.36K,24,+6.98%,22.57K,23,+30.01%,17.83K,24,-21.02%,17.38K,24,-2.48%
Goa,341,Kidney dysfunction,9.45K,25,9.75K,25,+3.14%,9.91K,25,+1.68%,10.07K,26,+1.58%,9.99K,26,-0.72%,9.83K,26,-1.68%,9.35K,26,-4.83%,9.35K,26,-0.05%,11.69K,26,+25.08%,9.76K,26,-16.49%,9.36K,26,-4.13%
Manipur,341,Kidney dysfunction,8.38K,26,8.83K,26,+5.34%,9.29K,26,+5.23%,10.10K,25,+8.72%,10.48K,25,+3.75%,10.72K,25,+2.33%,10.51K,25,-2.03%,10.37K,25,-1.31%,15.18K,25,+46.40%,11.81K,25,-22.18%,11.74K,25,-0.65%
Meghalaya,341,Kidney dysfunction,4.04K,27,4.07K,27,+0.73%,4.13K,27,+1.63%,4.63K,27,+12.01%,4.92K,27,+6.29%,5.10K,27,+3.65%,5.05K,27,-1.01%,5.08K,27,+0.62%,7.88K,27,+55.07%,5.70K,27,-27.62%,5.58K,27,-2.05%
Nagaland,341,Kidney dysfunction,3.66K,28,3.74K,28,+2.10%,3.79K,28,+1.43%,3.95K,28,+4.19%,4.02K,28,+1.72%,4.03K,28,+0.20%,3.87K,28,-3.79%,3.86K,28,-0.43%,5.70K,28,+47.71%,4.13K,28,-27.48%,4.05K,28,-2.02%
Arunachal Pradesh,341,Kidney dysfunction,2.04K,29,2.11K,29,+3.10%,2.19K,29,+3.99%,2.34K,29,+7.02%,2.43K,29,+3.48%,2.44K,29,+0.70%,2.40K,29,-1.77%,2.42K,29,+0.77%,3.00K,29,+24.01%,2.75K,29,-8.36%,2.68K,29,-2.48%
Sikkim,341,Kidney dysfunction,1.62K,30,1.65K,30,+1.59%,1.62K,30,-1.31%,1.64K,30,+1.06%,1.57K,30,-4.20%,1.46K,30,-6.89%,1.31K,30,-10.20%,1.24K,30,-5.84%,1.54K,30,+24.33%,1.50K,30,-2.77%,1.45K,30,-3.02%
Mizoram,341,Kidney dysfunction,769.03,31,763.09,31,-0.77%,810.50,31,+6.21%,967.47,31,+19.37%,1.02K,31,+5.27%,1.03K,31,+0.69%,995.67,31,-2.91%,1.02K,31,+2.76%,1.38K,31,+35.33%,1.14K,31,-17.33%,1.10K,31,-3.83%
Tamil Nadu,367,High LDL cholesterol,1.30M,1,1.31M,1,+0.18%,1.26M,2,-3.82%,1.24M,2,-0.91%,1.18M,2,-5.25%,1.08M,2,-8.32%,951.54K,3,-11.97%,936.92K,4,-1.54%,1.07M,5,+13.75%,906.88K,5,-14.91%,931.47K,5,+2.71%
Uttar Pradesh,367,High LDL cholesterol,1.25M,2,1.30M,2,+3.92%,1.28M,1,-1.50%,1.36M,1,+6.30%,1.26M,1,-7.16%,1.22M,1,-3.04%,1.09M,1,-10.84%,971.93K,1,-10.79%,1.17M,2,+20.00%,1.20M,1,+3.21%,1.24M,1,+2.65%
Maharashtra,367,High LDL cholesterol,1.02M,3,1.01M,3,-0.83%,968.76K,3,-3.88%,926.39K,5,-4.37%,872.46K,7,-5.82%,953.61K,4,+9.30%,738.04K,7,-22.61%,626.23K,9,-15.15%,772.85K,9,+23.41%,719.25K,7,-6.93%,756.75K,7,+5.21%
West Bengal,367,High LDL cholesterol,856.77K,4,894.63K,4,+4.42%,881.93K,5,-1.42%,926.38K,6,+5.04%,916.01K,6,-1.12%,916.28K,6,+0.03%,876.13K,5,-4.38%,895.46K,5,+2.21%,1.15M,3,+28.05%,966.79K,3,-15.69%,1.03M,2,+6.53%
Andhra Pradesh,367,High LDL cholesterol,837.27K,5,864.20K,6,+3.22%,880.79K,6,+1.92%,917.72K,7,+4.19%,921.39K,5,+0.40%,888.37K,7,-3.58%,832.88K,6,-6.25%,842.81K,6,+1.19%,1.01M,7,+20.05%,900.38K,6,-11.01%,907.01K,6,+0.74%
Karnataka,367,High LDL cholesterol,833.54K,6,874.36K,5,+4.90%,906.19K,4,+3.64%,950.48K,3,+4.89%,955.93K,4,+0.57%,933.52K,5,-2.34%,892.00K,4,-4.45%,943.40K,3,+5.76%,1.20M,1,+26.84%,961.41K,4,-19.65%,997.32K,4,+3.74%
Telangana,367,High LDL cholesterol,814.09K,7,847.89K,7,+4.15%,870.10K,7,+2.62%,932.42K,4,+7.16%,963.40K,3,+3.32%,976.73K,3,+1.38%,962.77K,2,-1.43%,947.72K,2,-1.56%,1.13M,4,+18.87%,1.04M,2,-8.01%,1.03M,3,-0.63%
Gujarat,367,High LDL cholesterol,705.59K,8,715.77K,8,+1.44%,713.64K,8,-0.30%,726.49K,8,+1.80%,717.54K,8,-1.23%,690.69K,8,-3.74%,661.18K,8,-4.27%,679.53K,7,+2.78%,1.02M,6,+49.85%,687.02K,9,-32.53%,695.35K,9,+1.21%
Madhya Pradesh,367,High LDL cholesterol,594.76K,9,612.83K,9,+3.04%,625.81K,9,+2.12%,665.28K,9,+6.31%,661.00K,9,-0.64%,661.33K,9,+0.05%,649.91K,9,-1.73%,644.65K,8,-0.81%,865.58K,8,+34.27%,698.71K,8,-19.28%,728.82K,8,+4.31%
Bihar,367,High LDL cholesterol,549.32K,10,568.52K,10,+3.49%,563.90K,11,-0.81%,611.43K,11,+8.43%,594.86K,11,-2.71%,612.06K,11,+2.89%,594.28K,11,-2.91%,555.08K,12,-6.60%,717.42K,10,+29.25%,646.88K,11,-9.83%,689.08K,10,+6.52%
Rajasthan,367,High LDL cholesterol,505.56K,11,543.23K,11,+7.45%,574.10K,10,+5.68%,617.48K,10,+7.56%,625.12K,10,+1.24%,623.66K,10,-0.23%,599.54K,10,-3.87%,569.60K,11,-4.99%,681.41K,11,+19.63%,660.92K,10,-3.01%,673.07K,11,+1.84%
Punjab,367,High LDL cholesterol,491.49K,12,498.78K,12,+1.48%,511.01K,12,+2.45%,559.13K,12,+9.42%,573.25K,12,+2.53%,581.04K,12,+1.36%,558.58K,12,-3.87%,570.08K,10,+2.06%,677.44K,12,+18.83%,608.79K,12,-10.13%,611.80K,12,+0.49%
Kerala,367,High LDL cholesterol,461.09K,13,446.86K,13,-3.09%,437.04K,13,-2.20%,443.45K,13,+1.47%,439.56K,13,-0.88%,412.95K,13,-6.05%,372.94K,13,-9.69%,324.46K,14,-13.00%,363.08K,14,+11.90%,381.00K,14,+4.94%,390.61K,13,+2.52%
Chhattisgarh,367,High LDL cholesterol,269.78K,14,284.24K,14,+5.36%,297.92K,14,+4.81%,331.24K,14,+11.19%,342.51K,14,+3.40%,350.08K,14,+2.21%,347.02K,14,-0.88%,336.66K,13,-2.99%,468.07K,13,+39.04%,383.69K,13,-18.03%,383.89K,14,+0.05%
Haryana,367,High LDL cholesterol,255.42K,15,260.05K,15,+1.81%,254.00K,15,-2.33%,264.58K,15,+4.16%,252.31K,16,-4.64%,248.48K,16,-1.52%,222.41K,16,-10.49%,216.57K,16,-2.63%,270.28K,16,+24.80%,220.87K,16,-18.28%,227.38K,16,+2.95%
Odisha,367,High LDL cholesterol,216.93K,16,218.84K,16,+0.88%,221.87K,16,+1.38%,245.99K,16,+10.87%,256.39K,15,+4.23%,260.97K,15,+1.78%,256.14K,15,-1.85%,250.45K,15,-2.22%,299.42K,15,+19.55%,285.83K,15,-4.54%,287.88K,15,+0.72%
Uttarakhand,367,High LDL cholesterol,186.03K,17,196.62K,17,+5.70%,203.18K,17,+3.33%,217.30K,17,+6.95%,216.91K,17,-0.18%,214.16K,17,-1.27%,194.45K,17,-9.21%,187.03K,17,-3.81%,222.30K,17,+18.86%,209.98K,17,-5.54%,209.82K,17,-0.08%
Delhi,367,High LDL cholesterol,181.04K,18,182.33K,18,+0.71%,177.29K,18,-2.77%,179.17K,18,+1.06%,163.54K,19,-8.73%,158.01K,19,-3.38%,140.07K,19,-11.36%,166.69K,18,+19.01%,211.78K,18,+27.05%,153.34K,19,-27.59%,158.35K,19,+3.27%
Assam,367,High LDL cholesterol,146.05K,19,150.87K,19,+3.30%,155.72K,19,+3.21%,165.65K,19,+6.38%,170.95K,18,+3.20%,175.11K,18,+2.44%,170.92K,18,-2.39%,165.99K,19,-2.88%,200.52K,19,+20.80%,196.75K,18,-1.88%,206.41K,18,+4.91%
Jharkhand,367,High LDL cholesterol,142.83K,20,141.56K,20,-0.89%,135.36K,20,-4.38%,149.43K,20,+10.40%,145.84K,20,-2.41%,144.05K,20,-1.23%,135.23K,20,-6.12%,124.18K,20,-8.17%,155.28K,20,+25.04%,144.85K,20,-6.72%,145.14K,20,+0.20%
Jammu & Kashmir and Ladakh,367,High LDL cholesterol,97.27K,21,102.75K,21,+5.63%,109.84K,21,+6.90%,120.93K,21,+10.10%,123.86K,21,+2.42%,126.22K,21,+1.91%,121.38K,21,-3.84%,113.64K,21,-6.38%,132.04K,21,+16.19%,135.11K,21,+2.33%,136.89K,21,+1.32%
