Cause ID,Cause Name,State,Gender,2013 YLLs,2013 YLLs YoY %,2014 YLLs,2014 YLLs YoY %,2015 YLLs,2015 YLLs YoY %,2016 YLLs,2016 YLLs YoY %,2017 YLLs,2017 YLLs YoY %,2018 YLLs,2018 YLLs YoY %,2019 YLLs,2019 YLLs YoY %,2020 YLLs,2020 YLLs YoY %,2021 YLLs,2021 YLLs YoY %,2022 YLLs,2022 YLLs YoY %,2023 YLLs,2023 YLLs YoY %
494,Stroke,Tripura,Female,41.51K,,34.19K,-17.63%,36.61K,+7.08%,46.38K,+26.68%,48.21K,+3.94%,46.20K,-4.16%,46.16K,-0.10%,46.33K,+0.37%,50.21K,+8.37%,50.39K,+0.36%,51.91K,+3.02%
494,Stroke,Uttar Pradesh,Male,1.73M,,1.87M,+7.97%,1.99M,+6.19%,2.24M,+12.62%,2.31M,+3.54%,2.32M,+0.28%,2.22M,-4.17%,2.10M,-5.58%,2.52M,+20.08%,2.34M,-7.29%,2.32M,-0.60%
494,Stroke,Uttar Pradesh,Female,1.31M,,1.61M,+22.72%,1.77M,+10.03%,1.98M,+12.10%,2.06M,+3.70%,2.13M,+3.36%,2.08M,-2.26%,1.92M,-7.83%,1.93M,+0.93%,2.34M,+21.29%,2.33M,-0.64%
494,Stroke,Uttarakhand,Male,132.59K,,133.08K,+0.37%,137.43K,+3.27%,145.49K,+5.86%,145.49K,+0.01%,138.08K,-5.10%,124.37K,-9.93%,121.23K,-2.53%,134.90K,+11.28%,121.25K,-10.12%,119.18K,-1.71%
494,Stroke,Uttarakhand,Female,71.53K,,77.52K,+8.37%,79.75K,+2.88%,83.17K,+4.29%,83.61K,+0.52%,81.39K,-2.65%,74.86K,-8.02%,70.54K,-5.78%,73.48K,+4.17%,74.93K,+1.97%,74.20K,-0.97%
494,Stroke,West Bengal,Male,1.97M,,1.92M,-2.97%,1.83M,-4.42%,1.88M,+2.61%,1.87M,-0.28%,1.84M,-2.02%,1.76M,-4.32%,1.80M,+2.60%,2.19M,+21.26%,1.74M,-20.54%,1.77M,+2.15%
494,Stroke,West Bengal,Female,1.16M,,1.22M,+5.73%,1.21M,-1.07%,1.23M,+1.71%,1.20M,-2.48%,1.16M,-3.41%,1.11M,-4.25%,1.16M,+4.52%,1.39M,+19.68%,1.14M,-17.57%,1.19M,+3.96%
498,Hypertensive heart disease,Andhra Pradesh,Male,121.08K,,120.93K,-0.13%,126.77K,+4.83%,137.92K,+8.79%,147.00K,+6.59%,144.65K,-1.60%,143.89K,-0.52%,149.50K,+3.90%,177.22K,+18.54%,146.09K,-17.57%,148.39K,+1.58%
498,Hypertensive heart disease,Andhra Pradesh,Female,90.37K,,99.51K,+10.11%,109.20K,+9.73%,115.92K,+6.15%,121.89K,+5.15%,123.77K,+1.55%,125.68K,+1.54%,134.31K,+6.86%,139.75K,+4.05%,144.07K,+3.09%,151.37K,+5.07%
498,Hypertensive heart disease,Arunachal Pradesh,Male,1.48K,,1.49K,+0.73%,1.57K,+5.37%,1.70K,+8.43%,1.80K,+5.59%,1.82K,+0.94%,1.81K,-0.09%,1.89K,+4.11%,2.34K,+24.05%,1.98K,-15.39%,2.23K,+12.65%
498,Hypertensive heart disease,Arunachal Pradesh,Female,754.85,,832.03,+10.22%,918.52,+10.39%,997.11,+8.56%,1.06K,+6.12%,1.10K,+4.37%,1.15K,+4.41%,1.24K,+7.49%,1.56K,+25.75%,1.38K,-11.74%,1.61K,+16.67%
498,Hypertensive heart disease,Assam,Male,46.52K,,44.89K,-3.51%,45.16K,+0.61%,47.23K,+4.58%,48.89K,+3.52%,49.02K,+0.26%,48.89K,-0.25%,49.55K,+1.34%,63.06K,+27.26%,54.96K,-12.85%,57.05K,+3.81%
498,Hypertensive heart disease,Assam,Female,25.74K,,28.98K,+12.59%,32.48K,+12.08%,35.59K,+9.57%,38.39K,+7.89%,40.46K,+5.38%,41.55K,+2.70%,40.94K,-1.47%,43.14K,+5.36%,52.20K,+21.00%,55.50K,+6.32%
498,Hypertensive heart disease,Bihar,Male,182.38K,,178.56K,-2.09%,179.38K,+0.46%,193.29K,+7.75%,204.97K,+6.04%,206.94K,+0.96%,211.36K,+2.14%,213.73K,+1.12%,267.63K,+25.21%,223.92K,-16.33%,234.19K,+4.59%
498,Hypertensive heart disease,Bihar,Female,107.85K,,125.70K,+16.56%,136.97K,+8.96%,149.41K,+9.09%,162.47K,+8.74%,173.44K,+6.75%,185.40K,+6.90%,194.55K,+4.93%,206.99K,+6.40%,214.78K,+3.76%,227.16K,+5.77%
498,Hypertensive heart disease,Chhattisgarh,Male,55.20K,,56.35K,+2.10%,59.59K,+5.75%,66.86K,+12.19%,71.94K,+7.61%,71.68K,-0.36%,72.67K,+1.38%,74.14K,+2.02%,97.88K,+32.02%,78.82K,-19.48%,79.92K,+1.40%
498,Hypertensive heart disease,Chhattisgarh,Female,29.08K,,32.95K,+13.31%,37.03K,+12.39%,42.44K,+14.62%,47.11K,+11.00%,50.53K,+7.26%,54.51K,+7.87%,57.24K,+5.01%,74.00K,+29.28%,63.70K,-13.92%,65.73K,+3.19%
498,Hypertensive heart disease,Delhi,Male,21.26K,,20.89K,-1.76%,21.30K,+1.99%,21.10K,-0.94%,20.86K,-1.13%,19.72K,-5.45%,19.46K,-1.32%,26.71K,+37.24%,30.61K,+14.59%,20.79K,-32.07%,21.17K,+1.85%
