Cause ID,Cause Name,State,Gender,2013 Deaths,2013 Deaths YoY %,2014 Deaths,2014 Deaths YoY %,2015 Deaths,2015 Deaths YoY %,2016 Deaths,2016 Deaths YoY %,2017 Deaths,2017 Deaths YoY %,2018 Deaths,2018 Deaths YoY %,2019 Deaths,2019 Deaths YoY %,2020 Deaths,2020 Deaths YoY %,2021 Deaths,2021 Deaths YoY %,2022 Deaths,2022 Deaths YoY %,2023 Deaths,2023 Deaths YoY %
493,Ischemic heart disease,Tripura,Male,2.44K,,2.14K,-12.46%,2.27K,+5.95%,2.78K,+22.73%,2.89K,+3.84%,2.84K,-1.77%,2.76K,-2.50%,2.77K,+0.27%,3.30K,+18.96%,3.26K,-1.05%,3.44K,+5.44%
493,Ischemic heart disease,Tripura,Female,1.32K,,1.14K,-14.02%,1.24K,+8.91%,1.60K,+28.78%,1.66K,+4.00%,1.63K,-1.80%,1.61K,-1.32%,1.61K,-0.06%,1.82K,+13.21%,1.87K,+2.66%,1.99K,+6.42%
493,Ischemic heart disease,Uttar Pradesh,Male,140.46K,,136.54K,-2.79%,128.84K,-5.64%,135.71K,+5.33%,125.76K,-7.33%,119.09K,-5.31%,105.78K,-11.18%,95.02K,-10.17%,121.79K,+28.17%,111.27K,-8.63%,112.48K,+1.09%
493,Ischemic heart disease,Uttar Pradesh,Female,66.23K,,73.41K,+10.84%,71.71K,-2.32%,75.39K,+5.13%,69.10K,-8.34%,67.50K,-2.31%,59.83K,-11.36%,50.44K,-15.69%,54.69K,+8.42%,64.02K,+17.06%,64.91K,+1.39%
493,Ischemic heart disease,Uttarakhand,Male,21.46K,,22.05K,+2.75%,22.75K,+3.17%,24.46K,+7.51%,24.38K,-0.32%,23.75K,-2.58%,21.36K,-10.09%,20.67K,-3.21%,24.69K,+19.45%,22.77K,-7.76%,22.60K,-0.75%
493,Ischemic heart disease,Uttarakhand,Female,8.01K,,8.87K,+10.71%,9.12K,+2.82%,9.66K,+6.01%,9.66K,-0.08%,9.67K,+0.11%,8.78K,-9.16%,8.23K,-6.24%,9.22K,+12.02%,9.19K,-0.31%,9.13K,-0.67%
493,Ischemic heart disease,West Bengal,Male,72.06K,,74.14K,+2.89%,71.88K,-3.05%,77.20K,+7.40%,78.71K,+1.95%,80.94K,+2.84%,78.93K,-2.49%,82.39K,+4.38%,107.62K,+30.62%,88.79K,-17.50%,94.65K,+6.60%
493,Ischemic heart disease,West Bengal,Female,41.60K,,45.98K,+10.53%,45.56K,-0.91%,47.80K,+4.90%,46.79K,-2.10%,46.46K,-0.71%,43.96K,-5.38%,45.01K,+2.38%,56.60K,+25.75%,48.25K,-14.74%,51.59K,+6.92%
494,Stroke,Andhra Pradesh,Male,15.48K,,14.78K,-4.52%,14.56K,-1.45%,15.32K,+5.20%,15.64K,+2.09%,14.76K,-5.62%,13.77K,-6.74%,13.69K,-0.56%,16.07K,+17.38%,13.00K,-19.10%,12.75K,-1.89%
494,Stroke,Andhra Pradesh,Female,11.75K,,12.60K,+7.27%,13.36K,+5.99%,14.26K,+6.72%,14.95K,+4.86%,15.26K,+2.05%,15.41K,+1.03%,15.15K,-1.71%,15.63K,+3.15%,14.72K,-5.77%,14.56K,-1.14%
494,Stroke,Arunachal Pradesh,Male,211.99,,207.85,-1.95%,211.80,+1.90%,227.29,+7.31%,236.08,+3.87%,234.06,-0.85%,226.08,-3.41%,224.98,-0.48%,273.79,+21.69%,231.95,-15.28%,252.06,+8.67%
494,Stroke,Arunachal Pradesh,Female,115.47,,119.28,+3.29%,122.42,+2.64%,127.10,+3.82%,128.78,+1.32%,129.40,+0.48%,127.02,-1.84%,128.35,+1.05%,155.29,+20.99%,133.26,-14.19%,147.17,+10.44%
494,Stroke,Assam,Male,15.06K,,14.43K,-4.21%,14.44K,+0.11%,15.47K,+7.08%,16.14K,+4.33%,16.32K,+1.15%,16.06K,-1.62%,15.84K,-1.38%,19.38K,+22.35%,16.56K,-14.51%,16.86K,+1.77%
494,Stroke,Assam,Female,8.88K,,9.39K,+5.75%,9.88K,+5.20%,10.58K,+7.07%,10.98K,+3.81%,11.21K,+2.08%,10.83K,-3.37%,10.08K,-6.93%,9.99K,-0.88%,11.62K,+16.32%,11.88K,+2.20%
494,Stroke,Bihar,Male,18.28K,,17.16K,-6.14%,16.54K,-3.63%,17.80K,+7.65%,18.01K,+1.13%,17.74K,-1.49%,17.03K,-4.01%,15.93K,-6.46%,19.51K,+22.53%,16.09K,-17.57%,16.47K,+2.40%
494,Stroke,Bihar,Female,14.90K,,16.32K,+9.56%,16.31K,-0.07%,17.38K,+6.52%,17.36K,-0.11%,17.81K,+2.61%,17.38K,-2.40%,16.23K,-6.66%,17.02K,+4.87%,17.16K,+0.83%,17.50K,+2.02%
494,Stroke,Chhattisgarh,Male,15.08K,,14.71K,-2.44%,15.02K,+2.15%,16.87K,+12.29%,17.76K,+5.26%,17.27K,-2.73%,16.93K,-1.99%,16.55K,-2.24%,21.52K,+30.00%,16.84K,-21.76%,16.55K,-1.69%
494,Stroke,Chhattisgarh,Female,10.36K,,10.95K,+5.70%,11.29K,+3.11%,12.40K,+9.85%,13.19K,+6.39%,13.71K,+3.93%,13.94K,+1.71%,13.27K,-4.87%,16.43K,+23.89%,14.12K,-14.08%,13.72K,-2.85%
494,Stroke,Delhi,Male,2.42K,,2.31K,-4.86%,2.22K,-3.78%,2.19K,-1.45%,2.05K,-6.00%,1.91K,-6.90%,1.74K,-8.81%,2.29K,+31.28%,2.70K,+17.84%,1.75K,-35.25%,1.75K,+0.33%
494,Stroke,Delhi,Female,1.45K,,1.48K,+2.26%,1.41K,-5.10%,1.40K,-0.43%,1.33K,-5.23%,1.28K,-3.52%,1.22K,-4.99%,1.60K,+31.46%,1.86K,+16.02%,1.33K,-28.49%,1.33K,+0.50%
494,Stroke,Goa,Male,485.12,,478.57,-1.35%,480.22,+0.34%,488.40,+1.70%,488.25,-0.03%,475.27,-2.66%,449.27,-5.47%,449.25,-0.00%,545.64,+21.46%,451.49,-17.25%,445.93,-1.23%
494,Stroke,Goa,Female,231.03,,239.05,+3.47%,243.62,+1.91%,240.55,-1.26%,236.30,-1.77%,235.11,-0.50%,228.23,-2.93%,227.21,-0.45%,261.94,+15.29%,238.59,-8.92%,240.04,+0.61%
494,Stroke,Gujarat,Male,14.07K,,15.04K,+6.93%,16.44K,+9.32%,18.45K,+12.23%,20.27K,+9.83%,21.00K,+3.59%,21.31K,+1.48%,23.42K,+9.89%,34.30K,+46.48%,22.87K,-33.31%,22.22K,-2.87%
494,Stroke,Gujarat,Female,9.75K,,11.06K,+13.36%,12.22K,+10.53%,13.45K,+10.01%,14.62K,+8.77%,15.41K,+5.39%,16.35K,+6.06%,17.97K,+9.92%,25.83K,+43.73%,16.94K,-34.42%,16.96K,+0.11%
494,Stroke,Haryana,Male,6.33K,,6.98K,+10.36%,7.75K,+11.06%,9.13K,+17.74%,10.02K,+9.77%,10.57K,+5.46%,10.47K,-0.90%,10.73K,+2.47%,12.61K,+17.46%,10.10K,-19.89%,9.71K,-3.85%
494,Stroke,Haryana,Female,3.85K,,4.56K,+18.60%,4.91K,+7.56%,5.51K,+12.19%,5.82K,+5.75%,6.20K,+6.42%,6.29K,+1.48%,6.58K,+4.72%,7.55K,+14.67%,6.24K,-17.37%,6.14K,-1.52%
494,Stroke,Himachal Pradesh,Male,1.00K,,902.85,-9.72%,872.54,-3.36%,910.18,+4.31%,976.56,+7.29%,1.01K,+3.87%,1.01K,-0.42%,975.20,-3.45%,1.16K,+18.85%,1.15K,-1.20%,1.15K,+0.40%
494,Stroke,Himachal Pradesh,Female,608.73,,556.29,-8.61%,520.66,-6.40%,507.52,-2.52%,515.90,+1.65%,534.39,+3.58%,539.24,+0.91%,551.04,+2.19%,697.59,+26.59%,611.56,-12.33%,603.35,-1.34%
494,Stroke,Jammu & Kashmir and Ladakh,Male,2.00K,,2.02K,+1.06%,2.12K,+5.17%,2.31K,+8.82%,2.41K,+4.37%,2.39K,-0.86%,2.26K,-5.47%,2.06K,-8.81%,2.18K,+5.81%,2.27K,+4.15%,2.25K,-0.77%
494,Stroke,Jammu & Kashmir and Ladakh,Female,1.06K,,1.08K,+2.27%,1.12K,+3.33%,1.18K,+5.67%,1.22K,+3.43%,1.27K,+4.21%,1.30K,+1.74%,1.35K,+3.96%,1.75K,+30.18%,1.37K,-22.15%,1.38K,+1.40%
494,Stroke,Jharkhand,Male,7.23K,,7.99K,+10.64%,7.82K,-2.13%,9.78K,+24.93%,10.83K,+10.76%,11.37K,+5.01%,11.50K,+1.16%,11.24K,-2.32%,14.58K,+29.76%,11.67K,-19.94%,11.62K,-0.44%
494,Stroke,Jharkhand,Female,7.66K,,7.80K,+1.86%,8.60K,+10.31%,9.68K,+12.51%,10.10K,+4.39%,10.47K,+3.60%,10.41K,-0.59%,9.71K,-6.69%,10.19K,+4.92%,11.30K,+10.90%,11.26K,-0.35%
494,Stroke,Karnataka,Male,18.32K,,17.98K,-1.83%,18.40K,+2.34%,19.65K,+6.75%,20.13K,+2.48%,19.46K,-3.34%,18.45K,-5.21%,19.67K,+6.64%,23.52K,+19.53%,17.62K,-25.08%,17.48K,-0.78%
494,Stroke,Karnataka,Female,12.18K,,13.28K,+9.08%,13.91K,+4.71%,14.32K,+3.00%,13.92K,-2.79%,13.41K,-3.66%,12.61K,-6.02%,12.69K,+0.67%,15.09K,+18.92%,12.25K,-18.83%,12.38K,+1.06%
494,Stroke,Kerala,Male,12.58K,,13.24K,+5.21%,14.23K,+7.48%,16.20K,+13.87%,17.87K,+10.26%,18.03K,+0.94%,17.26K,-4.28%,15.54K,-9.97%,17.62K,+13.40%,17.59K,-0.19%,17.22K,-2.10%
494,Stroke,Kerala,Female,6.97K,,6.97K,-0.01%,7.51K,+7.75%,8.36K,+11.24%,9.02K,+7.91%,9.15K,+1.45%,8.81K,-3.67%,7.96K,-9.73%,8.36K,+5.05%,9.72K,+16.33%,9.94K,+2.20%
494,Stroke,Madhya Pradesh,Male,18.31K,,17.96K,-1.91%,18.04K,+0.45%,19.02K,+5.43%,19.04K,+0.14%,18.26K,-4.09%,17.50K,-4.17%,17.09K,-2.32%,20.53K,+20.07%,16.93K,-17.53%,16.88K,-0.25%
494,Stroke,Madhya Pradesh,Female,13.79K,,14.06K,+1.91%,13.77K,-2.06%,14.11K,+2.50%,14.14K,+0.21%,14.18K,+0.28%,14.03K,-1.03%,13.88K,-1.07%,16.67K,+20.07%,13.63K,-18.26%,13.72K,+0.72%
494,Stroke,Maharashtra,Male,41.03K,,43.28K,+5.50%,44.50K,+2.80%,45.54K,+2.36%,47.92K,+5.21%,58.56K,+22.21%,45.73K,-21.91%,40.05K,-12.40%,49.06K,+22.49%,42.54K,-13.30%,42.90K,+0.84%
494,Stroke,Maharashtra,Female,20.68K,,23.23K,+12.32%,23.91K,+2.95%,24.67K,+3.18%,24.93K,+1.04%,27.35K,+9.69%,22.79K,-16.65%,19.99K,-12.29%,24.66K,+23.38%,22.40K,-9.17%,22.87K,+2.10%
494,Stroke,Manipur,Male,1.10K,,1.10K,-0.16%,1.13K,+3.05%,1.23K,+9.25%,1.29K,+4.57%,1.30K,+0.73%,1.26K,-3.31%,1.22K,-2.68%,1.76K,+44.17%,1.35K,-23.19%,1.40K,+3.24%
494,Stroke,Manipur,Female,542.82,,577.87,+6.46%,606.33,+4.92%,640.81,+5.69%,655.35,+2.27%,672.69,+2.65%,667.59,-0.76%,666.75,-0.13%,956.05,+43.39%,747.71,-21.79%,773.01,+3.38%
494,Stroke,Meghalaya,Male,434.98,,414.69,-4.67%,413.98,-0.17%,463.15,+11.88%,494.29,+6.72%,503.08,+1.78%,491.51,-2.30%,487.57,-0.80%,757.01,+55.26%,525.44,-30.59%,530.47,+0.96%
494,Stroke,Meghalaya,Female,249.32,,247.38,-0.78%,246.69,-0.28%,277.32,+12.42%,298.67,+7.70%,314.91,+5.44%,318.23,+1.05%,325.38,+2.25%,494.58,+52.00%,360.17,-27.18%,371.94,+3.27%
494,Stroke,Mizoram,Male,80.94,,74.74,-7.66%,77.94,+4.29%,94.86,+21.71%,100.96,+6.43%,100.35,-0.60%,96.11,-4.22%,95.91,-0.21%,128.06,+33.53%,104.91,-18.08%,104.99,+0.08%
