REI ID,REI Name,Year,State,Sex,20-29,30-39,40-49,50-59,60-69
99,Smoking,2014,Nagaland,Female,0.0,11.56,44.0,19.56,24.88
99,Smoking,2014,Nagaland,Male,0.0,13.07,37.16,21.9,27.87
99,Smoking,2014,Odisha,Female,0.0,5.1,17.07,22.73,55.1
99,Smoking,2014,Odisha,Male,0.0,8.61,29.65,22.31,39.43
99,Smoking,2014,Punjab,Female,0.0,7.39,21.04,22.22,49.35
99,Smoking,2014,Punjab,Male,0.0,13.24,42.26,14.33,30.16
99,Smoking,2014,Rajasthan,Female,0.0,3.7,14.82,19.44,62.05
99,Smoking,2014,Rajasthan,Male,0.0,9.89,32.95,22.59,34.58
99,Smoking,2014,Sikkim,Female,0.0,8.47,29.71,18.3,43.52
99,Smoking,2014,Sikkim,Male,0.0,15.3,36.26,18.92,29.52
99,Smoking,2014,Tamil Nadu,Female,0.0,4.5,20.55,27.76,47.19
99,Smoking,2014,Tamil Nadu,Male,0.0,9.49,34.37,22.7,33.43
99,Smoking,2014,Telangana,Female,0.0,3.45,19.15,16.95,60.45
99,Smoking,2014,Telangana,Male,0.0,9.55,37.92,16.69,35.83
99,Smoking,2014,Tripura,Female,0.0,7.28,25.89,17.33,49.51
99,Smoking,2014,Tripura,Male,0.0,10.33,33.94,22.24,33.49
99,Smoking,2014,Uttar Pradesh,Female,0.0,2.66,12.9,29.13,55.31
99,Smoking,2014,Uttar Pradesh,Male,0.0,7.38,31.6,23.73,37.29
99,Smoking,2014,Uttarakhand,Female,0.0,2.9,25.06,27.61,44.43
99,Smoking,2014,Uttarakhand,Male,0.0,7.9,36.93,20.48,34.7
99,Smoking,2014,West Bengal,Female,0.0,2.35,12.38,18.16,67.12
99,Smoking,2014,West Bengal,Male,0.0,7.48,29.19,25.38,37.94
99,Smoking,2015,Andhra Pradesh,Female,0.0,2.36,20.55,22.7,54.38
99,Smoking,2015,Andhra Pradesh,Male,0.0,7.35,35.01,20.69,36.95
99,Smoking,2015,Arunachal Pradesh,Female,0.0,8.48,24.75,19.95,46.82
99,Smoking,2015,Arunachal Pradesh,Male,0.0,14.86,41.39,18.66,25.09
99,Smoking,2015,Assam,Female,0.0,2.74,10.59,50.37,36.3
99,Smoking,2015,Assam,Male,0.0,8.53,32.19,28.34,30.94
99,Smoking,2015,Bihar,Female,0.0,2.73,10.84,16.47,69.95
99,Smoking,2015,Bihar,Male,0.0,7.89,25.65,20.2,46.26
99,Smoking,2015,Chhattisgarh,Female,0.0,3.95,12.19,18.29,65.58
99,Smoking,2015,Chhattisgarh,Male,0.0,7.46,27.6,23.88,41.06
99,Smoking,2015,Delhi,Female,0.0,4.53,19.68,24.89,50.9
99,Smoking,2015,Delhi,Male,0.0,9.06,36.88,20.12,33.93
99,Smoking,2015,Goa,Female,0.0,6.51,19.64,19.35,54.5
99,Smoking,2015,Goa,Male,0.0,8.94,33.77,22.14,35.15
99,Smoking,2015,Gujarat,Female,0.0,5.94,19.57,32.4,42.1
99,Smoking,2015,Gujarat,Male,0.0,8.22,29.41,26.65,35.71
99,Smoking,2015,Haryana,Female,0.0,3.03,14.92,21.05,61.0
99,Smoking,2015,Haryana,Male,0.0,9.38,33.16,21.84,35.62
99,Smoking,2015,Himachal Pradesh,Female,0.0,4.25,13.1,16.02,66.63
99,Smoking,2015,Himachal Pradesh,Male,0.0,6.62,29.26,21.38,42.75
99,Smoking,2015,Jharkhand,Female,0.0,3.49,13.16,22.17,61.19
99,Smoking,2015,Jharkhand,Male,0.0,9.01,25.87,24.4,40.73
99,Smoking,2015,Karnataka,Female,0.0,2.4,15.38,31.72,50.5
99,Smoking,2015,Karnataka,Male,0.0,9.46,32.68,21.05,36.81
99,Smoking,2015,Kerala,Female,0.0,2.9,8.52,21.96,66.62
99,Smoking,2015,Kerala,Male,0.0,5.52,26.98,27.33,40.17
99,Smoking,2015,Madhya Pradesh,Female,0.0,4.22,11.61,23.39,60.79
99,Smoking,2015,Madhya Pradesh,Male,0.0,9.56,31.76,22.98,35.69
99,Smoking,2015,Maharashtra,Female,0.0,8.98,27.98,26.0,37.04
99,Smoking,2015,Maharashtra,Male,0.0,6.63,24.32,24.64,44.4
99,Smoking,2015,Manipur,Female,0.0,3.19,17.2,23.73,55.88
99,Smoking,2015,Manipur,Male,0.0,7.9,26.77,25.69,39.64
99,Smoking,2015,Meghalaya,Female,0.0,7.6,32.36,19.88,40.15
99,Smoking,2015,Meghalaya,Male,0.0,12.78,32.93,20.94,33.35
